,hero_id,General Rate,Early,Mid,Late,Poly1,Poly2,Poly3,Poly4
0,1.0,0.515837104072,0.595744680851,0.539682539683,0.468468468468,-3.39542840387e-11,9.48970573744e-08,-2.69886971671e-05,0.51241276816
1,2.0,0.529100529101,0.535714285714,0.561403508772,0.5,-2.48380202933e-11,8.58564972691e-08,-6.11362755006e-05,0.530860016174
2,3.0,0.470890410959,0.416184971098,0.546798029557,0.442307692308,-3.92607719944e-11,1.58988544822e-07,-0.000151822272365,0.479215379939
3,4.0,0.513157894737,0.714285714286,0.48275862069,0.454545454545,-2.39551250272e-11,1.8621583281e-08,9.94741771244e-05,0.498663845659
4,5.0,0.429223744292,0.333333333333,0.407894736842,0.532467532468,5.05564116202e-11,-1.39801685974e-07,4.79824178742e-05,0.433042096883
5,6.0,0.520958083832,0.423728813559,0.59649122807,0.56,-1.49783765593e-11,9.53355577876e-08,-0.00013152304044,0.531150354001
6,7.0,0.521923620934,0.585526315789,0.53813559322,0.479623824451,-2.70009685259e-11,7.42859081558e-08,-2.00163123307e-05,0.519114322724
7,8.0,0.471177944862,0.479338842975,0.469798657718,0.46511627907,-1.96155726658e-12,3.62016295137e-09,2.16180040888e-06,0.470636716319
8,9.0,0.481981981982,0.524390243902,0.482142857143,0.440476190476,-1.66450717404e-11,4.09993407998e-08,-5.22286978254e-06,0.479721550449
9,10.0,0.519480519481,0.568181818182,0.538461538462,0.465517241379,-3.00867330337e-11,8.74994550641e-08,-3.7224030574e-05,0.518012030762
10,11.0,0.448079658606,0.441176470588,0.402390438247,0.5,3.79624523545e-11,-1.30288430541e-07,9.36459654495e-05,0.445263753995
11,12.0,0.494623655914,0.566666666667,0.489361702128,0.464,-1.40947844875e-11,2.53629942563e-08,2.18916882418e-05,0.489884854608
12,13.0,0.527272727273,0.486486486486,0.589473684211,0.5,-3.37201619146e-11,1.34069703391e-07,-0.000124823921434,0.533876670616
13,14.0,0.633333333333,0.545454545455,0.75,0.333333333333,-1.33661446038e-10,4.61926907286e-07,-0.00038022971584,0.65020340544
14,15.0,0.48632218845,0.566265060241,0.485714285714,0.439716312057,-2.18240872669e-11,4.86492429119e-08,9.43649345145e-06,0.481539523608
15,16.0,0.502564102564,0.591836734694,0.474576271186,0.471264367816,-5.09189739382e-12,-1.42663890297e-08,6.24815287269e-05,0.495412528518
16,17.0,0.517906336088,0.515463917526,0.521008403361,0.520547945205,-4.84975216198e-13,3.22714280106e-09,-4.13432927638e-06,0.518203853386
17,18.0,0.5,0.542857142857,0.519230769231,0.450980392157,-2.81488891811e-11,8.30174395755e-08,-3.73445037036e-05,0.498869532704
18,19.0,0.489361702128,0.44578313253,0.47,0.545454545455,3.03278711309e-11,-8.93757335174e-08,4.12329413362e-05,0.490428682512
19,20.0,0.469565217391,0.503311258278,0.429530201342,0.475,1.73984307608e-11,-7.50264417228e-08,7.67472946956e-05,0.464984928364
20,21.0,0.596825396825,0.621951219512,0.641666666667,0.530973451327,-4.35440328486e-11,1.42871721086e-07,-9.2327321748e-05,0.598561408255
21,22.0,0.524904214559,0.736842105263,0.544303797468,0.41935483871,-6.29101968307e-11,1.52824016871e-07,4.31727971892e-06,0.513111723552
22,23.0,0.592592592593,0.473684210526,0.5625,0.736842105263,6.91386596749e-11,-1.93969243321e-07,7.40613776227e-05,0.59688540433
23,25.0,0.521148036254,0.537037037037,0.530516431925,0.503496503497,-1.13764325302e-11,3.45084905273e-08,-1.68428242525e-05,0.520844236101
24,26.0,0.506329113924,0.606382978723,0.446153846154,0.497076023392,1.57655496566e-11,-9.17038349821e-08,0.000127057350638,0.496344996292
25,27.0,0.587209302326,0.509803921569,0.636363636364,0.606060606061,-1.0097041402e-11,6.58385362912e-08,-9.54910397895e-05,0.594902114215
26,28.0,0.460490463215,0.48275862069,0.489208633094,0.401785714286,-3.33193884469e-11,1.06357012268e-07,-6.58028991141e-05,0.46142803206
27,29.0,0.42654028436,0.454545454545,0.407894736842,0.425,5.59323348448e-12,-2.99231384969e-08,3.88106077257e-05,0.423630970941
28,30.0,0.533453887884,0.552631578947,0.557291666667,0.495192307692,-2.47187468783e-11,7.94575239352e-08,-4.83807632516e-05,0.534028890198
29,31.0,0.467980295567,0.491525423729,0.428571428571,0.486486486486,2.19673530919e-11,-8.62777195717e-08,7.8776490593e-05,0.463934273725
30,32.0,0.5,0.428571428571,0.8,0.25,-2.10380338308e-10,7.63325008289e-07,-0.000614407415953,0.525085226585
31,33.0,0.447513812155,0.44,0.428571428571,0.470588235294,1.66911293137e-11,-5.59227975188e-08,3.76680761914e-05,0.446640051602
32,34.0,0.602272727273,0.428571428571,0.666666666667,0.617021276596,-8.22325621567e-12,8.55897461107e-08,-0.000162366847329,0.617422028714
33,35.0,0.457943925234,0.363636363636,0.472222222222,0.489795918367,1.24785911227e-11,-1.24065640562e-08,-4.42007531061e-05,0.464676315443
34,36.0,0.461538461538,0.333333333333,0.5,0.5,6.28816769012e-12,2.27829523902e-08,-9.08616420592e-05,0.471810355543
35,37.0,0.58064516129,0.625,0.7,0.461538461538,-9.72762916233e-11,3.29607447445e-07,-0.00022374580368,0.585962516723
36,38.0,0.442996742671,0.378048780488,0.403669724771,0.521739130435,4.89030315557e-11,-1.48594406485e-07,7.41035012089e-05,0.444083563552
37,39.0,0.520689655172,0.525581395349,0.523364485981,0.513513513514,-3.90195171784e-12,1.17167349915e-08,-5.86509536664e-06,0.520610567871
38,40.0,0.447204968944,0.45652173913,0.454545454545,0.433333333333,-8.58470111851e-12,2.66779079414e-08,-1.45907957275e-05,0.447180877123
39,41.0,0.44578313253,0.442307692308,0.416666666667,0.469696969697,2.14504375814e-11,-7.51010499944e-08,5.48795403811e-05,0.444062445375
40,42.0,0.439024390244,0.540540540541,0.347826086957,0.45,3.65464298849e-11,-1.66598805792e-07,0.000184812173287,0.426933432784
41,43.0,0.517006802721,0.547169811321,0.48,0.522727272727,1.63952123584e-11,-7.00749783787e-08,7.08865234871e-05,0.51283275267
42,44.0,0.463414634146,0.48,0.433333333333,0.481481481481,1.80536381743e-11,-6.93877765259e-08,6.17593071802e-05,0.460361967219
43,45.0,0.5,0.366666666667,0.56,0.608695652174,1.65753503593e-11,2.49635169627e-09,-8.49622126879e-05,0.510758674479
44,46.0,0.478405315615,0.473684210526,0.442307692308,0.519607843137,2.99655557463e-11,-1.02999128808e-07,7.44105261759e-05,0.476127939754
45,47.0,0.517605633803,0.493827160494,0.482352941176,0.559322033898,3.17759466834e-11,-1.04268017803e-07,6.51216078392e-05,0.516664795102
46,48.0,0.550387596899,0.58,0.552631578947,0.512195121951,-1.53133536363e-11,4.04465840795e-08,-1.2006537002e-05,0.549063676429
47,49.0,0.452554744526,0.450549450549,0.425531914894,0.483146067416,2.21930704324e-11,-7.66969760968e-08,5.62293947868e-05,0.450749547402
48,50.0,0.48167539267,0.490990990991,0.5,0.461538461538,-1.57404037097e-11,5.2496953281e-08,-3.43049940526e-05,0.482348711793
49,51.0,0.528213166144,0.468965517241,0.543378995434,0.549450549451,5.17404851192e-12,2.71533625828e-09,-3.61883102443e-05,0.532765096819
50,52.0,0.461038961039,0.43661971831,0.463636363636,0.472440944882,4.67521980145e-12,-7.94938988118e-09,-8.03804980281e-06,0.462674713175
51,53.0,0.515151515152,0.445205479452,0.55905511811,0.552845528455,-2.92498110371e-12,4.09437090193e-08,-7.38163567969e-05,0.52176684582
52,54.0,0.555555555556,0.582089552239,0.492537313433,0.58904109589,3.74584268604e-11,-1.42684295649e-07,0.000123314716625,0.549784608906
53,55.0,0.494397759104,0.482587064677,0.502024291498,0.494339622642,-2.44720511517e-12,1.27804067484e-08,-1.64205224795e-05,0.495622232873
54,56.0,0.476744186047,0.529411764706,0.588235294118,0.342857142857,-9.86054175602e-11,3.28578145742e-07,-0.000216921870287,0.481283364872
55,57.0,0.353846153846,0.37037037037,0.388888888889,0.3,-3.43767822842e-11,1.13288954531e-07,-7.4865398434e-05,0.355450209221
56,58.0,0.5859375,0.5,0.720930232558,0.533333333333,-7.15664514592e-11,2.85685747232e-07,-0.000266038328562,0.599996029347
57,59.0,0.444444444444,0.296296296296,0.541666666667,0.52380952381,-8.39354200289e-12,9.50160677451e-08,-0.000162841020797,0.45869572477
58,60.0,0.537313432836,0.623376623377,0.5,0.525862068966,5.51626781629e-12,-4.89642472871e-08,8.60543414621e-05,0.529571840183
59,61.0,0.482587064677,0.483870967742,0.5,0.456140350877,-1.62389248833e-11,5.51552566144e-08,-4.00558423817e-05,0.483851221246
60,62.0,0.440828402367,0.40625,0.465517241379,0.444444444444,-7.2246183183e-12,3.8595434809e-08,-4.94002980988e-05,0.444486681597
61,63.0,0.479532163743,0.530612244898,0.5,0.40350877193,-3.74220505461e-11,1.09357276214e-07,-5.08817027728e-05,0.478312207945
62,64.0,0.509615384615,0.508474576271,0.519480519481,0.5,-7.45109273964e-12,2.64409853111e-08,-2.04663702224e-05,0.510378800757
63,65.0,0.560913705584,0.6,0.487179487179,0.586826347305,3.91329063341e-11,-1.54634528765e-07,0.000140277291063,0.553811639907
64,66.0,0.448763250883,0.353535353535,0.48275862069,0.520833333333,1.45524174183e-11,-9.99914574005e-09,-5.0803580229e-05,0.456043068704
65,67.0,0.504424778761,0.583333333333,0.512195121951,0.446808510638,-2.89639916017e-11,7.35186713527e-08,-9.58683576605e-06,0.500337312487
66,68.0,0.568674698795,0.613861386139,0.541984732824,0.562841530055,6.40667845484e-12,-3.90995208773e-08,5.57280068041e-05,0.56421704516
67,69.0,0.441509433962,0.436781609195,0.406976744186,0.478260869565,2.79221541491e-11,-9.62913571788e-08,6.95808378195e-05,0.439384898689
68,70.0,0.433734939759,0.318181818182,0.545454545455,0.392857142857,-5.36273743808e-11,2.28558141501e-07,-0.000238103504852,0.448355759684
69,71.0,0.489451476793,0.52027027027,0.534482758621,0.41059602649,-4.80004411442e-11,1.55017857401e-07,-9.74909304839e-05,0.491004059789
70,72.0,0.487889273356,0.44,0.488294314381,0.518950437318,1.39584324902e-11,-3.17424359764e-08,-3.93099203848e-06,0.490709717308
71,73.0,0.516587677725,0.606060606061,0.470588235294,0.483333333333,3.09929578327e-12,-4.61663620067e-08,8.79603723392e-05,0.508461232401
72,74.0,0.55376344086,0.504132231405,0.5703125,0.581967213115,5.45940086974e-12,5.77482123408e-10,-3.0065571448e-05,0.557632761657
73,75.0,0.555555555556,0.636363636364,0.564102564103,0.507936507937,-2.66705357602e-11,6.66941530633e-08,-4.22882562986e-06,0.551232452124
74,76.0,0.467741935484,0.454545454545,0.514285714286,0.441176470588,-2.88905818543e-11,1.07753244507e-07,-8.93170691753e-05,0.471595672002
75,77.0,0.445,0.387096774194,0.460317460317,0.48,8.91666471984e-12,-8.55122266344e-09,-2.80181083275e-05,0.44926361012
76,78.0,0.452830188679,0.559322033898,0.402777777778,0.41975308642,3.27281233265e-12,-5.17260702171e-08,0.000101469306841,0.443319324665
77,79.0,0.563573883162,0.545454545455,0.582524271845,0.56,-8.29025866117e-12,3.60950665573e-08,-3.78346180352e-05,0.565902986677
78,80.0,0.52,0.518518518519,0.470588235294,0.584905660377,4.29251191642e-11,-1.47603036639e-07,0.000108858987779,0.516416690829
79,81.0,0.584615384615,0.588235294118,0.5,0.642857142857,5.76033757978e-11,-2.06935119605e-07,0.000159105088194,0.578848344872
80,82.0,0.4375,0.466666666667,0.285714285714,0.5,8.87765475231e-11,-3.32599669163e-07,0.000271521152399,0.42623652153
81,83.0,0.423645320197,0.463768115942,0.327586206897,0.460526315789,5.30556993277e-11,-2.05476841031e-07,0.00017979685384,0.41508168232
82,84.0,0.578512396694,0.555555555556,0.522727272727,0.64,4.73834794119e-11,-1.5929052282e-07,0.000106902313281,0.576091984553
83,85.0,0.456375838926,0.4296875,0.459119496855,0.475,6.93047366766e-12,-1.41130618848e-08,-5.15003497351e-06,0.458066516179
84,86.0,0.491251682369,0.443298969072,0.501960784314,0.511945392491,5.95967541706e-12,-3.70642464434e-09,-2.49983250843e-05,0.494797520059
85,87.0,0.540983606557,0.54954954955,0.550632911392,0.525316455696,-1.01449135516e-11,3.24176844439e-08,-1.93344196099e-05,0.541164351915
86,88.0,0.472103004292,0.402777777778,0.486842105263,0.517647058824,1.34776291877e-11,-2.00509117325e-08,-2.61842994095e-05,0.476955469551
87,89.0,0.504132231405,0.58064516129,0.527027027027,0.443396226415,-3.69706557053e-11,1.04078041083e-07,-3.46561300123e-05,0.501086005133
88,90.0,0.494047619048,0.642857142857,0.464285714286,0.428571428571,-2.05479790541e-11,1.90468243936e-08,7.17555715689e-05,0.483253592895
89,91.0,0.435129740519,0.365517241379,0.406417112299,0.526627218935,4.7911749615e-11,-1.40250105585e-07,6.36800859381e-05,0.436927735496
90,92.0,0.421052631579,0.362831858407,0.451327433628,0.440298507463,-2.8726970786e-12,3.27174033659e-08,-5.90977031376e-05,0.426395077029
91,93.0,0.616666666667,0.714285714286,0.637931034483,0.523076923077,-4.79332619981e-11,1.31678864111e-07,-4.16560158046e-05,0.612583169462
92,94.0,0.458333333333,0.333333333333,0.545454545455,0.48,-2.26050559786e-11,1.28233839558e-07,-0.000170575192857,0.471312802233
93,95.0,0.538461538462,0.52380952381,0.509803921569,0.571428571429,2.50500531191e-11,-8.33659665069e-08,5.44492136394e-05,0.537392242961
94,96.0,0.596026490066,0.666666666667,0.563636363636,0.555555555556,-3.55986895989e-12,-1.70200745261e-08,5.56058731212e-05,0.590038340368
95,97.0,0.56043956044,0.604651162791,0.653846153846,0.48275862069,-7.26897740313e-11,2.4592390005e-07,-0.000162138299364,0.563722536791
96,98.0,0.504424778761,0.586206896552,0.405405405405,0.531914893617,4.72600347469e-11,-1.97739146154e-07,0.000197051516483,0.493001478634
97,99.0,0.540740740741,0.555555555556,0.546391752577,0.527272727273,-8.24369681685e-12,2.38779583223e-08,-9.47094917877e-06,0.540243341741
98,100.0,0.467224546722,0.484375,0.414634146341,0.501792114695,3.37104801142e-11,-1.25344070989e-07,0.000104481194078,0.462649830532
99,101.0,0.606299212598,0.698412698413,0.594594594595,0.564102564103,-1.64724198192e-11,2.57377484011e-08,3.35876230644e-05,0.600011912664
100,102.0,0.48623853211,0.446808510638,0.46875,0.566666666667,3.59708169099e-11,-1.06080482227e-07,5.40930999837e-05,0.486763332302
101,103.0,0.479166666667,0.5,0.481481481481,0.466666666667,-6.99449340642e-12,1.75921996909e-08,-1.38056970401e-06,0.478061562375
102,104.0,0.625,0.545454545455,0.6,0.764705882353,6.10650480178e-11,-1.75631442925e-07,8.12125865667e-05,0.626960068998
103,105.0,0.388888888889,0.4,0.4,0.375,-1.06221187264e-11,3.39510305533e-08,-1.93631532663e-05,0.388950192587
104,106.0,0.531390134529,0.526315789474,0.538461538462,0.532338308458,-2.62012037017e-12,1.17390871775e-08,-1.20860557972e-05,0.532110366632
105,107.0,0.342592592593,0.352941176471,0.368421052632,0.305555555556,-2.43751587809e-11,8.10120513367e-08,-5.44776664598e-05,0.343860032147
106,109.0,0.491228070175,0.578947368421,0.411764705882,0.47619047619,2.48401310645e-11,-1.24306282926e-07,0.000146758438344,0.481109550487
107,110.0,0.570588235294,0.625,0.571428571429,0.530303030303,-1.79310664826e-11,4.27431950704e-08,-2.79001395823e-07,0.567529578184
108,111.0,0.651685393258,0.658536585366,0.736842105263,0.586206896552,-6.1090496027e-11,2.15429401069e-07,-0.000159424750667,0.656877004702
109,112.0,0.51867219917,0.526785714286,0.493975903614,0.53431372549,1.56535828356e-11,-5.83501565396e-08,4.87548395956e-05,0.516528672099
110,113.0,-1.0,-1.0,-1.0,-1.0,-2.33569630151e-25,1.29542835899e-21,-1.80963782725e-18,-1.0
